id,host_response_rate,accommodates,bathrooms,beds,bedrooms,price,review_scores_rating,number_of_reviews,number_of_amenities,host_response_time_a few days or more,host_response_time_missing,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_is_superhost_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_Aparthotel,property_type_Apartment,property_type_Barn,property_type_Bed and breakfast,property_type_Boat,property_type_Boutique hotel,property_type_Bungalow,property_type_Cabin,property_type_Camper/RV,property_type_Chalet,property_type_Condominium,property_type_Cottage,property_type_Dome house,property_type_Guest suite,property_type_Guesthouse,property_type_Hostel,property_type_Hotel,property_type_House,property_type_Houseboat,property_type_Loft,property_type_Other,property_type_Serviced apartment,property_type_Tiny house,property_type_Townhouse,property_type_Villa,property_type_Yurt,instant_bookable_t,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_strict_14_with_grace_period
202426,5.830390887760672,1.6094379124341003,0.6931471805599453,1.0986122886681098,1.0986122886681098,4.430816798843313,1.7994051941191063,0.0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
208186,4.61512051684126,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.248495242049359,1.9459101490553132,5.488937726156687,39,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
209394,4.61512051684126,1.9459101490553132,0.9162907318741551,1.6094379124341003,1.3862943611198906,5.278114659230517,0.0,0.6931471805599453,41,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
235160,4.61512051684126,1.0986122886681098,0.9162907318741551,0.6931471805599453,0.6931471805599453,4.382026634673881,1.0986122886681098,3.4657359027997265,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
237270,4.61512051684126,1.6094379124341003,0.6931471805599453,1.0986122886681098,1.0986122886681098,4.634728988229636,0.6931471805599453,3.5263605246161616,23,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
242472,4.61512051684126,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,4.564348191467836,2.3978952727983707,5.176149732573829,36,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
248764,4.61512051684126,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.0,4.795790545596741,1.3862943611198906,5.365976015021851,28,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
253308,4.61512051684126,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.0,4.290459441148391,1.9459101490553132,5.978885764901122,15,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
259865,5.830390887760672,1.9459101490553132,0.6931471805599453,1.791759469228055,1.3862943611198906,5.081404364984463,1.791759469228055,1.6094379124341003,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
260659,4.61512051684126,1.9459101490553132,0.6931471805599453,1.3862943611198906,1.3862943611198906,5.111987788356544,1.6094379124341003,2.8903717578961645,26,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
275357,5.830390887760672,1.791759469228055,1.0986122886681098,1.6094379124341003,1.3862943611198906,5.225746673713202,2.0794415416798357,1.3862943611198906,24,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
284178,4.61512051684126,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.709530201312334,1.9459101490553132,4.584967478670572,35,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
302629,4.61512051684126,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.48863636973214,1.0986122886681098,4.812184355372417,31,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
303785,5.830390887760672,1.791759469228055,1.252762968495368,1.3862943611198906,1.3862943611198906,5.303304908059076,1.7994051941191063,0.0,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
